time,F7,AF7,AF8,F8,MARKER
558,-0.007017453118639819,4267.578893361586,16404.816682477394,8231.443228936385,
560,-0.006694797647072376,4195.4827387284995,16928.133467257172,9014.84529929748,
562,-0.006294714436871567,4156.2176580903015,17430.374174140245,9847.144117129546,
564,-0.005829475935366801,4143.029625628343,17688.2190204411,10410.831727957066,
566,-0.0053369455269959955,4138.682300401167,17571.886136132653,10494.238650931158,
568,-0.00486601078814792,4122.054673937471,17092.420651511,10069.257643408582,
570,-0.004457998963444104,4076.1680922973887,16394.662180693518,9298.089610499848,
572,-0.0041311676632174825,3994.6012534835404,15699.686353896752,8467.972933459881,
574,-0.0038741166248955116,3883.878876353299,15219.589642526465,7880.103021618555,
576,-0.003650515544669698,3760.9556132344765,15077.488866869899,7735.69994098987,
578,-0.0034132234309004403,3646.775422463402,15262.932877965539,8062.326281112942,
580,-0.0031223359347869934,3558.3635256666385,15638.85608551207,8707.40027716951,
582,-0.002760272388424272,3502.447357180596,15996.321139158063,9399.859340924639,
584,-0.0023382193053755576,3473.0065564830143,16135.268321285932,9855.155030266871,
586,-0.0018915931397859365,3453.652559086181,15940.111293604115,9882.946713987192,
588,-0.0014663767962748533,3423.9081109055983,15421.661151465703,9456.76550201557,
590,-0.001101621250207848,3366.989818381079,14710.256392384019,8720.222343332429,
592,-0.0008147913156090353,3276.144720993466,14003.805662803023,7928.894963364113,
594,-0.0005954723404718784,3157.1574624433415,13491.44958263623,7351.345373605172,
596,-0.0004097154136476293,3026.106840826844,13282.311341787663,7167.602995899869,
598,-0.0002132374725572745,2903.250894306966,13366.1970409894,7403.491963455451,
600,3.1639811903441694e-05,2805.375769038452,13620.37659255367,7924.7208322267315,
602,0.0003417781291310233,2739.5077022582027,13858.786897095904,8491.503879196176,
604,0.0007070844165269253,2700.3526113839494,13904.015567936507,8851.607785995653,
606,0.0010946628307835992,2672.403704291309,13654.2644567455,8835.757249206094,
608,0.001461544763383207,2635.888372736932,13120.065446321034,8419.345308159664,
610,0.001771058704039731,2574.2820467712295,12417.592871076959,7728.0259964757815,
612,0.0020065910807396956,2480.5415263981704,11722.179636259012,6986.5226868299,
614,0.002177564363648432,2359.7144678662753,11200.626644578433,6431.435567785212,
616,0.002315478972645093,2226.966886416925,10948.460339871994,6221.876882321402,
618,0.002461658899905973,2101.807171917248,10955.757310283718,6381.690882739392,
620,0.002651458979255501,2000.7148522576583,11113.733484240098,6794.1980116255645,
622,0.0029009626249569204,1930.9676896475687,11258.544574758547,7250.020937579541,
624,0.0032011678685109576,1887.987101145525,11234.746983637246,7528.507987697504,
626,0.0035217509286807995,1857.1762897651688,10953.886040227313,7481.130856409783,
628,0.003822839958706113,1819.52257816889,10426.175220514326,7085.368277264779,
630,0.004070223294610075,1758.8208385042249,9754.00921532299,6449.605183540418,
632,0.004248186165072394,1667.7802605925717,9090.808072085858,5768.605241897567,
634,0.004365156351062076,1550.7198874129444,8581.718492862332,5247.766982943959,
636,0.004450135044564012,1421.8637590424808,8309.109169861254,5025.61495207509,
638,0.0045414074066935295,1299.9145133383183,8263.34103034654,5123.775611967272,
640,0.0046719245946143725,1200.9825019657778,8349.147424205219,5442.4541380321925,
642,0.004856938201355998,1132.5505452558878,8424.185422679713,5801.732149978284,
